tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,month
2273,52:53.4,30:46.9,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,128,MacDougal St & Prince St,40.72710258,-74.00297088,35231,Subscriber,1988,Jan-19
742,52:55.6,05:17.9,358,Christopher St & Greenwich St,40.73291553,-74.00711384,3002,South End Ave & Liberty St,40.711512,-74.015756,16592,Subscriber,1959,Jan-19
488,52:55.1,01:04.0,536,1 Ave & E 30 St,40.74144387,-73.97536082,325,E 19 St & 3 Ave,40.73624527,-73.98473765,35607,Subscriber,1988,Jan-19
482,52:53.4,00:55.4,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,32647,Subscriber,1987,Jan-19
416,52:56.1,59:52.6,334,W 20 St & 7 Ave,40.74238787,-73.99726235,503,E 20 St & Park Ave,40.73827428,-73.98751968,32814,Subscriber,1988,Jan-19
786,52:55.3,06:02.0,312,Allen St & Stanton St,40.722055,-73.989111,496,E 16 St & 5 Ave,40.73726186,-73.99238967,26540,Subscriber,1970,Jan-19
1606,52:54.3,19:41.0,3165,Central Park West & W 72 St,40.77579377,-73.97620574,523,W 38 St & 8 Ave,40.75466591,-73.99138152,35106,Customer,1973,Jan-19
2526,52:54.8,35:01.4,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,389,Broadway & Berry St,40.71044554,-73.96525063,21655,Customer,1991,Jan-19
270,52:58.1,57:28.9,3124,46 Ave & 5 St,40.74731,-73.95451,3128,21 St & 43 Ave,40.75052534,-73.94594845,30234,Subscriber,1987,Jan-19
350,53:01.5,58:51.8,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,26984,Subscriber,1984,Jan-19
2490,53:01.6,34:31.9,3615,44 Dr & 21 St,40.748,-73.9460927,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,34202,Subscriber,1992,Jan-19
202,53:06.0,56:28.3,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,3715,Driggs Ave & N 9 St,40.71816969,-73.95520136,20856,Subscriber,1979,Jan-19
779,53:02.9,06:02.5,359,E 47 St & Park Ave,40.75510267,-73.97498696,3136,5 Ave & E 63 St,40.766368,-73.971518,32412,Customer,1988,Jan-19
791,53:04.5,06:16.0,359,E 47 St & Park Ave,40.75510267,-73.97498696,3136,5 Ave & E 63 St,40.766368,-73.971518,32580,Customer,1986,Jan-19
545,53:03.9,02:09.8,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,485,W 37 St & 5 Ave,40.75038009,-73.98338988,21366,Subscriber,1996,Jan-19
446,53:09.3,00:35.9,3407,Union St & Nevins St,40.679098,-73.98765475,3404,7 St & 5 Ave,40.6704922,-73.98541675,35206,Subscriber,1978,Jan-19
818,53:12.8,06:51.2,368,Carmine St & 6 Ave,40.73038599,-74.00214988,330,Reade St & Broadway,40.71450451,-74.00562789,33905,Subscriber,1989,Jan-19
152,53:10.6,55:43.3,3078,Broadway & Roebling St,40.70924826,-73.96063149,389,Broadway & Berry St,40.71044554,-73.96525063,35167,Subscriber,1987,Jan-19
313,53:13.0,58:26.3,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,382,University Pl & E 14 St,40.73492695,-73.99200509,33348,Subscriber,1984,Jan-19
1640,53:17.6,20:38.1,296,Division St & Bowery,40.71413089,-73.9970468,485,W 37 St & 5 Ave,40.75038009,-73.98338988,35564,Subscriber,1959,Jan-19
704,53:16.2,05:01.1,3292,5 Ave & E 93 St,40.7857851,-73.957481,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,30578,Customer,1969,Jan-19
328,53:17.9,58:46.7,361,Allen St & Hester St,40.71605866,-73.99190759,150,E 2 St & Avenue C,40.7208736,-73.98085795,18309,Subscriber,1982,Jan-19
88,53:22.1,54:50.2,393,E 5 St & Avenue C,40.72299208,-73.97995466,394,E 9 St & Avenue C,40.72521311,-73.97768752,28572,Subscriber,1990,Jan-19
1384,53:21.0,16:25.1,514,12 Ave & W 40 St,40.76087502,-74.00277668,524,W 43 St & 6 Ave,40.75527307,-73.98316936,34342,Subscriber,1980,Jan-19
391,53:23.6,59:55.0,402,Broadway & E 22 St,40.7403432,-73.98955109,482,W 15 St & 7 Ave,40.73935542,-73.99931783,17868,Subscriber,1993,Jan-19
276,53:20.7,57:57.5,335,Washington Pl & Broadway,40.72903917,-73.99404649,254,W 11 St & 6 Ave,40.73532427,-73.99800419,29748,Subscriber,1953,Jan-19
200,53:20.1,56:41.0,3158,W 63 St & Broadway,40.77163851,-73.98261428,3163,Central Park West & W 68 St,40.7734066,-73.97782542,27197,Subscriber,1958,Jan-19
254,53:24.9,57:39.4,365,Fulton St & Grand Ave,40.68223166,-73.9614583,3249,Verona Pl & Fulton St,40.68035608,-73.9476791,19405,Subscriber,1991,Jan-19
1738,53:31.3,22:29.9,3306,10 St & 7 Ave,40.6662078,-73.98199886,3599,Franklin Ave & Empire Blvd,40.66314,-73.9605695,15585,Subscriber,1968,Jan-19
495,53:25.7,01:41.1,497,E 17 St & Broadway,40.73704984,-73.99009296,402,Broadway & E 22 St,40.7403432,-73.98955109,30451,Subscriber,1977,Jan-19
815,53:27.6,07:02.8,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,358,Christopher St & Greenwich St,40.73291553,-74.00711384,26474,Subscriber,1981,Jan-19
641,53:27.9,04:09.0,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,514,12 Ave & W 40 St,40.76087502,-74.00277668,27428,Subscriber,1994,Jan-19
1355,53:29.2,16:04.9,363,West Thames St,40.70834698,-74.01713445,3658,W 18 St & 9 Ave,40.74353373,-74.00367558,33006,Subscriber,1984,Jan-19
418,53:30.5,00:29.3,450,W 49 St & 8 Ave,40.76227205,-73.98788205,465,Broadway & W 41 St,40.75513557,-73.98658032,19288,Subscriber,1980,Jan-19
546,53:29.0,02:35.1,3709,W 15 St & 6 Ave,40.73804614,-73.99642959,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,15183,Subscriber,1986,Jan-19
206,53:29.9,56:56.8,285,Broadway & E 14 St,40.73454567,-73.99074142,280,E 10 St & 5 Ave,40.73331967,-73.99510132,19893,Subscriber,1956,Jan-19
328,53:30.4,58:59.2,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,285,Broadway & E 14 St,40.73454567,-73.99074142,33624,Subscriber,1994,Jan-19
125,53:32.1,55:37.4,229,Great Jones St,40.72743423,-73.99379025,293,Lafayette St & E 8 St,40.73020661,-73.99102628,16821,Subscriber,1966,Jan-19
176,53:32.7,56:29.3,3332,Degraw St & Hoyt St,40.68199044,-73.99079025,3409,Bergen St & Smith St,40.6867443,-73.99063168,29911,Subscriber,1976,Jan-19
788,53:32.9,06:41.4,3168,Central Park West & W 85 St,40.78472675,-73.96961715,469,Broadway & W 53 St,40.76344058,-73.98268129,31414,Subscriber,1992,Jan-19
897,53:38.7,08:36.5,446,W 24 St & 7 Ave,40.74487634,-73.99529885,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,17632,Customer,1969,Jan-19
286,53:40.4,58:26.6,417,Barclay St & Church St,40.71291224,-74.01020234,257,Lispenard St & Broadway,40.71939226,-74.00247214,31654,Subscriber,1985,Jan-19
436,53:37.4,00:53.9,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3368,5 Ave & 3 St,40.6728155,-73.98352355,30790,Subscriber,1987,Jan-19
390,53:35.1,00:05.8,3656,E 2 St & Avenue A,40.72307749,-73.98583621,2003,1 Ave & E 18 St,40.73381219,-73.98054421,16220,Subscriber,1968,Jan-19
